source_post_id,name,post_url,post_description,post_created,likes_count,shares_count,views_count,comments_count
1.08427E+17,@patrizienta,https://tiktok.com/@patrizienta/video/108426800413716480,#makeup #spain #makeupandhair #followme #blonde #watermelon,6/17/2016,397,0,6277,0
1.08796E+17,@nailsartvideos,https://tiktok.com/@nailsartvideos/video/108795592566304768, üòç‚úå＀üèøÔ∏è＀üíÖ＀üèª #nails,6/18/2016,986,1,2819,1
1.28732E+17,@naomijon,https://tiktok.com/@naomijon/video/128731658203242496,Soft Bordeaux Cut Crease ＀üíï #MakeupOfTheDay #Makeuptips #Makeup #MiniTutorial #featureme,8/12/2016,23937,46,73713,81
1.28741E+17,@rayneydaes,https://tiktok.com/@rayneydaes/video/128740870983618560,my makeup routine! #makeupoftheday #featureme #featurethis #makeup #tutorial,8/12/2016,691,0,261,3
1.48526E+17,@hookyhk,https://tiktok.com/@hookyhk/video/148525928506277888,#lipgloss #LilMama #lipstick #MyFavourites #Kiss #FeatureMe,10/6/2016,181272,149,1336888,307
1.6495E+17,@kristenhancher,https://tiktok.com/@kristenhancher/video/164950377426161664,Aha when you die trying to turn＀üòÇ @SHAEDband #SHAED #Perfume,11/20/2016,814439,93,839461,1266
1.71175E+17,@naomijon,https://tiktok.com/@naomijon/video/171175313417101312,Redid the #EyeChallenge ＀üëÅ show me your eyes using the #EyeChallenge hashtag ＀üíô #makeup #eyes #oceaneyes,12/7/2016,278961,1417,2019209,1393
1.75042E+17,@nailsartvideos,https://tiktok.com/@nailsartvideos/video/175041992530411520,#christmasnails#nails ＀üíÖ＀üèª＀üíÖ＀üèª || Follow @nailvideotutorial ＀üí´,12/18/2016,9898,5,34557,10
2.14927E+17,@rodrigeminiis,https://tiktok.com/@rodrigeminiis/video/214926603762593792,#girls #makeup #makeuptutorial #makeuplover #blush #bbcream #Eyeliner #igermakeup #iger #venezuela #gochamakeup #makeupartist #makeupselfie,4/7/2017,275,1,614,6
2.1603E+17,@naomijon,https://tiktok.com/@naomijon/video/216029828360208384,＀üíô＀üåô #BakeTheFace #makeup #makeuptutorial #motd #sailormoon #makeupoftheday,4/10/2017,140550,133,758501,602
2.31907E+17,@phionakatz,https://tiktok.com/@phionakatz/video/231907157955514368,#makeup #lipstickjunkie #blogger,5/24/2017,23,0,88,0
2.35287E+17,@paigemackenzie,https://tiktok.com/@paigemackenzie/video/235287137397559297,#MakeupProblems #Makeup,6/2/2017,1168,14,5704,4
2.39946E+17,@dhez_,https://tiktok.com/@dhez_/video/239945665274089472,＀üéÄ #feautured #makeup #makeupoftheday #oceaneyes #myself #style,6/15/2017,1253,1,18309,9
2.52322E+17,@bilintinamakeup,https://tiktok.com/@bilintinamakeup/video/252322392277102592,How to hide wrinkles! #hudabeauty #makeup #tutorial #darkcircles #wrinkles #beauty #fillers #finelines #lips,7/19/2017,3692,21,42258,35
2.52676E+17,@bilintinamakeup,https://tiktok.com/@bilintinamakeup/video/252675812921954304,Thank you #lorealmakeup #loreal #makeup #beauty,7/20/2017,1384,3,13041,6
2.53807E+17,@alannized,https://tiktok.com/@alannized/video/253806587058851840,Musical.ly saw it first ‚ù§Ô∏è #makeup #style #eyeshadow #eyebrows #lgbt,7/24/2017,10808,8,107001,167
2.5428E+17,@bilintinamakeup,https://tiktok.com/@bilintinamakeup/video/254279964546613248,Chest Mask ‚ú® #skincare #lipmask #chestmask #makeup #beauty,7/25/2017,60902,181,748176,181
2.56785E+17,@bilintinamakeup,https://tiktok.com/@bilintinamakeup/video/256784751892807681,BeautyCon Make Up Inspo ＀üíï#MyBeautyConLALook #MakeUp #Contour #MakeUpLook,8/1/2017,88964,7,415187,124
2.58905E+17,@bilintinamakeup,https://tiktok.com/@bilintinamakeup/video/258904644431798272,Quick Make up fix #makeup #hudabeauty #lips,8/7/2017,66208,14,584033,131
2.59309E+17,@bilintinamakeup,https://tiktok.com/@bilintinamakeup/video/259308512592306176,Cream Contour ＀üíÅ＀üèª＀üé® #makeup #katvondbeauty #hudabeauty #contourlikekim,8/8/2017,18688,6,117617,30
